Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,748435,-,-,-,39.29,-94.7,-6,300,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Dew Point,Pressure,Wind Direction,Surface Albedo,,,,,,
2018,1,1,0,30,0,0,0,3.4000000000000004,-19.700000000000003,-24.8,1008,345,0.18,,,,,,
2018,1,1,1,30,0,0,0,3.4000000000000004,-20.1,-25.1,1009,342,0.18,,,,,,
2018,1,1,2,30,0,0,0,3.3000000000000003,-20.400000000000002,-25.3,1009,340,0.18,,,,,,
2018,1,1,3,30,0,0,0,3.3000000000000003,-20.700000000000003,-25.5,1009,339,0.18,,,,,,
2018,1,1,4,30,0,0,0,3.3000000000000003,-21,-25.700000000000003,1009,339,0.18,,,,,,
2018,1,1,5,30,0,0,0,3.1,-21.3,-25.8,1009,338,0.18,,,,,,
2018,1,1,6,30,0,0,0,2.9000000000000004,-21.6,-26,1009,337,0.18,,,,,,
2018,1,1,7,30,0,0,0,2.9000000000000004,-21.5,-26.1,1010,334,0.18,,,,,,
2018,1,1,8,30,117,33,636,2.9000000000000004,-20.6,-26,1010,333,0.18,,,,,,
2018,1,1,9,30,275,54,808,2.8000000000000003,-19.200000000000003,-25.700000000000003,1010,333,0.18,,,,,,
2018,1,1,10,30,418,55,950,2.6,-17.5,-25.200000000000003,1009,333,0.18,,,,,,
2018,1,1,11,30,502,60,988,2.4000000000000004,-15.9,-24.6,1009,332,0.18,,,,,,
2018,1,1,12,30,526,63,995,2.2,-14.600000000000001,-24.1,1008,334,0.18,,,,,,
2018,1,1,13,30,472,70,924,2,-13.700000000000001,-23.8,1007,338,0.18,,,,,,
2018,1,1,14,30,389,57,926,1.9000000000000001,-13.4,-23.5,1007,345,0.18,,,,,,
2018,1,1,15,30,174,75,410,1.5,-13.9,-23.5,1007,176,0.18,,,,,,
2018,1,1,16,30,78,28,539,1,-15.3,-22.900000000000002,1006,11,0.18,,,,,,
2018,1,1,17,30,0,0,0,0.8,-16.2,-21.200000000000003,1006,19,0.18,,,,,,
2018,1,1,18,30,0,0,0,0.9,-17.2,-21.8,1006,42,0.18,,,,,,
2018,1,1,19,30,0,0,0,0.9,-17.7,-22.200000000000003,1006,57,0.18,,,,,,
2018,1,1,20,30,0,0,0,0.9,-18.1,-22.5,1005,68,0.18,,,,,,
2018,1,1,21,30,0,0,0,0.9,-18.5,-22.700000000000003,1005,76,0.18,,,,,,
2018,1,1,22,30,0,0,0,0.9,-19,-22.900000000000002,1005,80,0.18,,,,,,
2018,1,1,23,30,0,0,0,0.9,-19.3,-23.1,1005,81,0.18,,,,,,
2018,1,2,0,30,0,0,0,0.9,-19.6,-23.200000000000003,1005,82,0.18,,,,,,
2018,1,2,1,30,0,0,0,0.8,-19.8,-23.3,1005,91,0.18,,,,,,
2018,1,2,2,30,0,0,0,0.7000000000000001,-19.900000000000002,-23.400000000000002,1005,114,0.18,,,,,,
2018,1,2,3,30,0,0,0,0.7000000000000001,-20,-23.5,1005,144,0.18,,,,,,
2018,1,2,4,30,0,0,0,0.7000000000000001,-20.1,-23.6,1004,167,0.18,,,,,,
2018,1,2,5,30,0,0,0,0.8,-20.3,-23.6,1004,182,0.18,,,,,,
2018,1,2,6,30,0,0,0,1,-20.3,-23.6,1003,194,0.18,,,,,,
2018,1,2,7,30,0,0,0,1.6,-19.400000000000002,-23.6,1003,204,0.18,,,,,,
2018,1,2,8,30,113,35,594,2.3000000000000003,-17.3,-23.400000000000002,1003,211,0.18,,,,,,
2018,1,2,9,30,273,51,808,2.8000000000000003,-14.4,-22.8,1002,218,0.18,,,,,,
2018,1,2,10,30,404,59,901,3.4000000000000004,-11.600000000000001,-22.6,1001,225,0.18,,,,,,
2018,1,2,11,30,485,68,931,3.8000000000000003,-9.600000000000001,-21.900000000000002,1000,229,0.18,,,,,,
2018,1,2,12,30,501,73,916,4.1000000000000005,-8,-21.200000000000003,998,232,0.18,,,,,,
2018,1,2,13,30,465,69,905,4.4,-7.1000000000000005,-20.400000000000002,997,236,0.18,,,,,,
2018,1,2,14,30,372,61,862,4.4,-6.7,-19.700000000000003,995,239,0.18,,,,,,
2018,1,2,15,30,234,49,759,3.7,-7.4,-18.900000000000002,995,238,0.18,,,,,,
2018,1,2,16,30,74,28,482,2.8000000000000003,-9.200000000000001,-17.7,994,227,0.18,,,,,,
2018,1,2,17,30,0,0,0,2.7,-10.200000000000001,-17.2,993,218,0.18,,,,,,
2018,1,2,18,30,0,0,0,3.6,-10,-17.5,991,220,0.18,,,,,,
2018,1,2,19,30,0,0,0,3.7,-9.9,-17,990,226,0.18,,,,,,
2018,1,2,20,30,0,0,0,4.2,-9.8,-16.6,989,225,0.18,,,,,,
2018,1,2,21,30,0,0,0,4.6000000000000005,-9.5,-16.1,988,225,0.18,,,,,,
2018,1,2,22,30,0,0,0,4.800000000000001,-9.3,-15.600000000000001,987,232,0.18,,,,,,
2018,1,2,23,30,0,0,0,4.800000000000001,-9,-15,987,252,0.18,,,,,,
2018,1,3,0,30,0,0,0,4.7,-8.700000000000001,-14.5,986,272,0.18,,,,,,
2018,1,3,1,30,0,0,0,4.4,-8.5,-14,986,288,0.18,,,,,,
2018,1,3,2,30,0,0,0,4.1000000000000005,-8.700000000000001,-13.3,987,306,0.18,,,,,,
2018,1,3,3,30,0,0,0,4.1000000000000005,-8.9,-12.5,987,320,0.18,,,,,,
2018,1,3,4,30,0,0,0,4.2,-9.1,-11.8,988,326,0.18,,,,,,
2018,1,3,5,30,0,0,0,4.1000000000000005,-9.3,-11.5,988,327,0.18,,,,,,
2018,1,3,6,30,0,0,0,3.9000000000000004,-9.700000000000001,-11.700000000000001,989,327,0.18,,,,,,
2018,1,3,7,30,0,0,0,4,-9.600000000000001,-12.100000000000001,989,326,0.18,,,,,,
2018,1,3,8,30,65,47,138,4.9,-8.4,-12.4,990,331,0.18,,,,,,
2018,1,3,9,30,275,49,822,5.800000000000001,-7.300000000000001,-13.9,991,339,0.18,,,,,,
2018,1,3,10,30,402,56,903,5.9,-6.5,-15.700000000000001,991,339,0.18,,,,,,
2018,1,3,11,30,482,65,927,5.7,-5.6000000000000005,-16,991,336,0.18,,,,,,
2018,1,3,12,30,504,75,915,5.5,-4.800000000000001,-15.600000000000001,991,332,0.18,,,,,,
2018,1,3,13,30,467,72,899,5.2,-4.4,-15,990,330,0.18,,,,,,
2018,1,3,14,30,373,67,842,4.800000000000001,-4.5,-14.600000000000001,990,330,0.18,,,,,,
2018,1,3,15,30,232,56,715,4,-5.6000000000000005,-14.4,990,332,0.18,,,,,,
2018,1,3,16,30,75,32,438,2.6,-7.7,-14.200000000000001,990,335,0.18,,,,,,
2018,1,3,17,30,0,0,0,2,-8.9,-13.700000000000001,990,337,0.18,,,,,,
2018,1,3,18,30,0,0,0,1.8,-10.4,-14,992,339,0.18,,,,,,
2018,1,3,19,30,0,0,0,1.7000000000000002,-11.200000000000001,-14.3,992,345,0.18,,,,,,
2018,1,3,20,30,0,0,0,1.5,-11.9,-14.600000000000001,992,354,0.18,,,,,,
2018,1,3,21,30,0,0,0,1.4000000000000001,-12.5,-14.9,992,185,0.18,,,,,,
